subject_id,session_id,timestamp_s,activity_label,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_uT,mag_y_uT,mag_z_uT,euler_heading_deg,euler_roll_deg,euler_pitch_deg,quat_w,quat_x,quat_y,quat_z,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,temperature_c
1,1,0.0000,SITTING,-1.1807381,0.5306472,9.5570290,0.5598288,-0.6146859,0.6863512,13.0274311,3.2513801,44.0523601,3.0000000,8.0000000,-0.1798361,0.9972181,0.0262226,0.0696915,-0.0033910,0.1520107,0.0142975,-0.0967891,-1.3648219,0.5082456,9.6979035,26.9724538
1,1,0.0100,SITTING,-1.3570461,0.5467047,9.5856047,0.5406132,-2.1617562,1.4515855,12.8519845,2.9428738,44.2363875,3.0000000,8.0000000,-0.1793000,0.9972181,0.0262223,0.0696916,-0.0033864,0.0205449,0.0564897,-0.1124924,-1.3648219,0.5082456,9.6979035,26.9818283
1,1,0.0200,SITTING,-1.4436474,0.4602074,9.8848593,0.1043077,0.6730351,0.0579485,12.5237887,2.3766669,44.0162746,3.0000000,8.0000000,-0.1787634,0.9972181,0.0262219,0.0696917,-0.0033817,-0.1019982,-0.1030768,0.1584501,-1.3648219,0.5082456,9.6979035,27.0091664
1,1,0.0300,SITTING,-1.3064888,0.4994118,9.7132905,0.5128264,0.3098466,1.3986735,12.3555146,2.4503351,43.7408691,3.0000000,8.0000000,-0.1782265,0.9972182,0.0262216,0.0696919,-0.0033770,0.0516137,-0.0260262,0.0164071,-1.3648219,0.5082456,9.6979035,26.9894529
1,1,0.0400,SITTING,-1.3220183,0.5213272,9.7122974,0.0016751,-1.5217736,1.9323236,13.1994308,2.9869085,44.3159486,3.0000000,8.0000000,-0.1776892,0.9972182,0.0262213,0.0696920,-0.0033723,0.0344205,0.0083269,0.0411031,-1.3648219,0.5082456,9.6979035,27.0243155
1,1,0.0500,SITTING,-1.2988141,0.5347326,9.6652382,-0.5051954,0.0173969,1.9902271,13.2126343,2.4324729,44.1676716,3.0000000,8.0000000,-0.1771514,0.9972182,0.0262210,0.0696921,-0.0033677,0.0859862,0.0369595,-0.0835458,-1.3648219,0.5082456,9.6979035,26.9983193
1,1,0.0600,SITTING,-1.4156816,0.4892906,9.6846494,0.0517706,1.0829329,1.2103414,13.0072885,2.5050903,44.3704604,3.0000000,8.0000000,-0.1766133,0.9972182,0.0262206,0.0696922,-0.0033630,-0.0639878,-0.0373076,-0.0096845,-1.3648219,0.5082456,9.6979035,26.9638496
1,1,0.0700,SITTING,-1.3895716,0.6001825,9.7886196,0.0567743,0.5690135,1.6328880,12.7735895,2.5191427,43.6113697,3.0000000,8.0000000,-0.1760747,0.9972182,0.0262203,0.0696924,-0.0033583,-0.0004256,0.0451991,0.0512783,-1.3648219,0.5082456,9.6979035,27.0119713
1,1,0.0800,SITTING,-1.5252695,0.5422621,9.8451104,1.4191884,-0.7888525,0.8707026,12.8109224,3.5293720,44.1125870,3.0000000,8.0000000,-0.1755358,0.9972182,0.0262200,0.0696925,-0.0033536,-0.1393427,-0.0095099,0.0580119,-1.3648219,0.5082456,9.6979035,27.0378295
1,1,0.0900,SITTING,-1.5975570,0.6147615,9.7408993,1.2693034,-0.3080959,1.7043509,12.9973978,2.9872063,44.0164347,3.0000000,8.0000000,-0.1749964,0.9972183,0.0262196,0.0696926,-0.0033489,-0.2049808,0.0933585,0.0127283,-1.3648219,0.5082456,9.6979035,27.0547242
1,1,0.1000,SITTING,-1.4101620,0.5628231,9.7432880,0.3688527,0.0023526,0.2984443,12.6708773,2.4805838,43.4434652,3.0000000,8.0000000,-0.1744567,0.9972183,0.0262193,0.0696927,-0.0033442,0.0047576,-0.0508195,-0.0636558,-1.3648219,0.5082456,9.6979035,26.9658320
1,1,0.1100,SITTING,-1.4394031,0.4810224,9.6936236,-1.2531773,-0.5558993,1.6316326,12.5686354,2.7541134,44.3127998,3.0000000,8.0000000,-0.1739166,0.9972183,0.0262190,0.0696929,-0.0033395,-0.0590993,-0.0561432,-0.0484689,-1.3648219,0.5082456,9.6979035,27.0069687
1,1,0.1200,SITTING,-1.4011615,0.5897819,9.7736678,0.6847559,0.9835827,1.9032906,13.2574397,2.7366416,43.4691532,3.0000000,8.0000000,-0.1733761,0.9972183,0.0262187,0.0696930,-0.0033348,-0.0709332,0.0500220,0.0178876,-1.3648219,0.5082456,9.6979035,26.9924096
1,1,0.1300,SITTING,-1.2805688,0.4321565,9.7185658,-0.2224267,-0.3916793,0.0355681,12.7717035,2.3804854,43.8327444,3.0000000,8.0000000,-0.1728352,0.9972183,0.0262183,0.0696931,-0.0033301,0.0789832,-0.0482523,0.0156341,-1.3648219,0.5082456,9.6979035,27.0221691
1,1,0.1400,SITTING,-1.4637827,0.3801218,9.6826186,0.5561993,0.9612051,1.6654520,12.6669231,3.0382064,43.7452034,3.0000000,8.0000000,-0.1722939,0.9972183,0.0262180,0.0696932,-0.0033254,-0.0380442,-0.1837099,0.0289798,-1.3648219,0.5082456,9.6979035,26.9487380
1,1,0.1500,SITTING,-1.2780227,0.5437806,9.6957470,-0.3509224,0.8509572,0.7807543,12.4779878,3.0427224,43.9125569,3.0000000,8.0000000,-0.1717522,0.9972184,0.0262177,0.0696934,-0.0033207,0.1686478,0.0176892,-0.0018315,-1.3648219,0.5082456,9.6979035,27.0113293
1,1,0.1600,SITTING,-1.4532093,0.4216246,9.7865000,0.3839801,-0.3578491,0.9115698,12.7543208,2.2031853,44.3170091,3.0000000,8.0000000,-0.1712101,0.9972184,0.0262173,0.0696935,-0.0033159,-0.0088498,-0.1207999,-0.0043301,-1.3648219,0.5082456,9.6979035,27.0116943
1,1,0.1700,SITTING,-1.2228706,0.5378946,9.8258643,1.2544356,0.0358034,0.2068445,12.7871365,2.8835015,43.7458363,3.0000000,8.0000000,-0.1706677,0.9972184,0.0262170,0.0696936,-0.0033112,0.2261825,-0.0161370,0.0819679,-1.3648219,0.5082456,9.6979035,27.0294248
1,1,0.1800,SITTING,-1.3866530,0.5640957,9.7137982,1.2830283,-1.7763225,0.8053426,12.5526685,2.4266996,44.0275296,3.0000000,8.0000000,-0.1701248,0.9972184,0.0262167,0.0696937,-0.0033065,-0.0166837,0.0034910,-0.0195856,-1.3648219,0.5082456,9.6979035,27.0087776
1,1,0.1900,SITTING,-1.2938606,0.4798278,9.6992316,0.0441441,-0.8922135,0.4229014,13.0930682,3.1107094,43.4381001,3.0000000,8.0000000,-0.1695816,0.9972184,0.0262163,0.0696938,-0.0033018,0.0433659,-0.0863227,0.0751326,-1.3648219,0.5082456,9.6979035,27.0297527
1,1,0.2000,SITTING,-1.5018371,0.4159261,9.7380658,1.2800686,0.6347830,0.3034445,12.4114227,2.8009576,45.0114226,3.0000000,8.0000000,-0.1690380,0.9972184,0.0262160,0.0696940,-0.0032970,-0.1308140,-0.0930102,0.0181882,-1.3648219,0.5082456,9.6979035,27.0155194
1,1,0.2100,SITTING,-1.3766006,0.3374265,9.7397965,0.1739488,1.1493208,0.7309627,12.7180200,2.7812098,43.8821668,3.0000000,8.0000000,-0.1684940,0.9972184,0.0262157,0.0696941,-0.0032923,0.0258825,-0.1416391,0.0182541,-1.3648219,0.5082456,9.6979035,27.0260785
1,1,0.2200,SITTING,-1.4007895,0.5732291,9.7858928,0.2962498,0.3751796,0.3808643,13.3146268,2.6629075,43.4835465,3.0000000,8.0000000,-0.1679497,0.9972185,0.0262154,0.0696942,-0.0032876,-0.0211012,0.0486360,0.1160244,-1.3648219,0.5082456,9.6979035,27.0496289
1,1,0.2300,SITTING,-1.3223666,0.5935597,9.7384103,1.6052321,0.8647257,0.8075441,12.8596100,2.9716179,43.9250128,3.0000000,8.0000000,-0.1674049,0.9972185,0.0262150,0.0696943,-0.0032828,0.0489236,-0.0165125,0.0148520,-1.3648219,0.5082456,9.6979035,27.0333431
1,1,0.2400,SITTING,-1.3189217,0.3632555,9.6880426,0.4061205,2.0799011,2.1415581,12.7408129,3.3644681,45.0067413,3.0000000,8.0000000,-0.1668598,0.9972185,0.0262147,0.0696945,-0.0032781,0.0231771,-0.0952052,0.0023266,-1.3648219,0.5082456,9.6979035,27.0376449
1,1,0.2500,SITTING,-1.3057378,0.4702776,9.7948682,0.4546559,0.7578641,1.5134694,12.7482230,2.8230390,44.4490821,3.0000000,8.0000000,-0.1663143,0.9972185,0.0262144,0.0696946,-0.0032733,0.1009088,-0.0334054,0.0875673,-1.3648219,0.5082456,9.6979035,27.0108838
1,1,0.2600,SITTING,-1.4857846,0.5689745,9.6430549,1.0422694,-1.0144477,0.2227688,13.1488935,2.8707095,43.7399465,3.0000000,8.0000000,-0.1657685,0.9972185,0.0262140,0.0696947,-0.0032686,-0.1186225,0.0419045,-0.0840638,-1.3648219,0.5082456,9.6979035,27.0060432
1,1,0.2700,SITTING,-1.4108703,0.5618875,9.7336612,0.6038158,-0.6403392,0.5740883,12.8660999,2.5199495,44.3060712,3.0000000,8.0000000,-0.1652222,0.9972185,0.0262137,0.0696948,-0.0032638,-0.0336498,0.0289376,0.0727393,-1.3648219,0.5082456,9.6979035,27.0205362
1,1,0.2800,SITTING,-1.5309595,0.5192952,9.6439262,1.3212958,1.9923649,1.2100542,12.9515684,2.6314588,44.6381848,3.0000000,8.0000000,-0.1646756,0.9972186,0.0262134,0.0696950,-0.0032591,-0.1436897,-0.0366850,-0.0241432,-1.3648219,0.5082456,9.6979035,27.0344317
1,1,0.2900,SITTING,-1.4593207,0.4256152,9.7756048,0.7170566,-1.6946536,1.3627903,12.3777264,2.9404182,43.8495723,3.0000000,8.0000000,-0.1641286,0.9972186,0.0262130,0.0696951,-0.0032543,-0.0622948,-0.1228897,-0.0144136,-1.3648219,0.5082456,9.6979035,27.0113062
1,1,0.3000,SITTING,-1.3228236,0.4768325,9.8928855,0.5336804,0.6065216,0.0061696,12.8983281,2.5815626,44.0381750,3.0000000,8.0000000,-0.1635813,0.9972186,0.0262127,0.0696952,-0.0032496,0.0613246,-0.0576507,0.1245256,-1.3648219,0.5082456,9.6979035,26.9956395
1,1,0.3100,SITTING,-1.4441904,0.5118611,9.8128397,0.5756307,2.4591117,-0.5154067,12.7066933,2.8622263,43.9821704,3.0000000,8.0000000,-0.1630336,0.9972186,0.0262124,0.0696953,-0.0032448,-0.1200332,0.0203416,0.1125688,-1.3648219,0.5082456,9.6979035,27.0473356
1,1,0.3200,SITTING,-1.2644113,0.4526407,9.8738054,0.3402593,-0.2409478,0.6210355,13.0032708,3.1291899,44.4716196,3.0000000,8.0000000,-0.1624855,0.9972186,0.0262120,0.0696955,-0.0032400,0.0974766,-0.0375021,0.1112781,-1.3648219,0.5082456,9.6979035,27.0477370
1,1,0.3300,SITTING,-1.4698186,0.6344295,9.5901712,0.7856259,0.5375106,0.1611380,12.2864750,3.2846318,44.0735064,3.0000000,8.0000000,-0.1619370,0.9972186,0.0262117,0.0696956,-0.0032353,-0.1095423,0.0256484,-0.1224425,-1.3648219,0.5082456,9.6979035,26.9972684
1,1,0.3400,SITTING,-1.4706721,0.5669756,9.6084415,-0.1377073,0.8132177,0.4763420,12.3615315,2.7731168,44.4308172,3.0000000,8.0000000,-0.1613882,0.9972186,0.0262114,0.0696957,-0.0032305,-0.0564110,0.0085898,-0.0671702,-1.3648219,0.5082456,9.6979035,26.9997331
1,1,0.3500,SITTING,-1.3122776,0.7149298,9.6635859,0.2607556,0.4666382,1.5046639,13.1194851,3.1170207,44.3709225,3.0000000,8.0000000,-0.1608390,0.9972187,0.0262110,0.0696958,-0.0032257,0.0333957,0.1664251,-0.1120125,-1.3648219,0.5082456,9.6979035,27.0264409
1,1,0.3600,SITTING,-1.3555076,0.6536827,9.8762849,-0.9936327,-0.6259847,1.5392270,12.7549483,2.5859755,44.1940933,3.0000000,8.0000000,-0.1602895,0.9972187,0.0262107,0.0696960,-0.0032209,0.0436405,0.0924155,0.1297254,-1.3648219,0.5082456,9.6979035,27.0491162
1,1,0.3700,SITTING,-1.4883893,0.5413515,9.6259969,-1.2235112,-0.2141373,-0.5142643,12.3574674,3.3458230,43.9787970,3.0000000,8.0000000,-0.1597396,0.9972187,0.0262104,0.0696961,-0.0032161,-0.1123932,0.0670119,-0.1141780,-1.3648219,0.5082456,9.6979035,27.0208873
1,1,0.3800,SITTING,-1.4473437,0.4826753,9.8047448,1.4420219,-1.1125186,0.3756246,12.9928677,3.2407163,43.7294274,3.0000000,8.0000000,-0.1591893,0.9972187,0.0262100,0.0696962,-0.0032113,-0.0422453,0.0330500,0.1472994,-1.3648219,0.5082456,9.6979035,27.0208493
