subject,class,windows,ax_mean,ax_mean_std_between_windows,ay_mean,ay_mean_std_between_windows,az_mean,az_mean_std_between_windows,gx_mean,gx_mean_std_between_windows,gy_mean,gy_mean_std_between_windows,gz_mean,gz_mean_std_between_windows,acc_mag_mean,acc_mag_std,gyro_mag_mean,gyro_mag_std
1,LYING,270,4.493300437927246,3.0251379013061523,2.5624566078186035,3.625575065612793,3.762603521347046,5.544524669647217,0.007555935997515917,0.0921284481883049,0.004075674805790186,0.15944211184978485,-0.0018972273683175445,0.167448490858078,9.795578002929688,0.2348080277442932,0.1855020374059677,0.13022774457931519
1,SITTING,233,-1.7409471273422241,3.797654867172241,6.958682060241699,1.922583818435669,4.6024017333984375,1.8649877309799194,-0.0001587755250511691,0.11644455045461655,-0.003693614387884736,0.14673563838005066,-0.00904985424131155,0.1482313722372055,9.777473449707031,0.24425598978996277,0.21167847514152527,0.1525462567806244
1,STANDING,216,-4.017518043518066,5.001298427581787,5.970693588256836,2.3927037715911865,3.0361874103546143,1.278609275817871,0.01411447487771511,0.15506543219089508,-0.002915611257776618,0.12402709573507309,-0.013055533170700073,0.19831682741641998,9.771448135375977,0.3544241487979889,0.3050846755504608,0.23861178755760193
2,LYING,233,5.8358941078186035,3.561310052871704,2.951864242553711,0.8449950218200684,5.837724208831787,1.314365029335022,-0.010050398297607899,0.1508522778749466,0.020655998960137367,0.14914868772029877,0.0018498876597732306,0.18042300641536713,9.706426620483398,0.28592079877853394,0.19512750208377838,0.1588602364063263
2,SITTING,222,-2.162858486175537,2.4088633060455322,6.570218086242676,2.5368776321411133,5.1731157302856445,2.2122106552124023,-0.009380482137203217,0.10283336788415909,0.021275188773870468,0.12923352420330048,0.0031598261557519436,0.23857209086418152,9.77951717376709,0.5467370748519897,0.35906267166137695,0.2833526134490967
2,STANDING,254,-8.506736755371094,0.38166218996047974,4.6390299797058105,0.5257145762443542,0.5846564769744873,0.7002686858177185,-0.001316910027526319,0.07613562047481537,0.0052385698072612286,0.05000772699713707,-0.0033267212565988302,0.05581245198845863,9.794201850891113,0.21956180036067963,0.17069712281227112,0.11923421919345856
3,LYING,219,6.426283836364746,3.466261148452759,1.3053276538848877,2.3951971530914307,5.507763385772705,1.428563117980957,-0.00018768114387057722,0.159975066781044,0.0011506493901833892,0.20063012838363647,0.0057462239637970924,0.13175110518932343,9.776554107666016,0.23000390827655792,0.2076803296804428,0.13485358655452728
3,SITTING,286,-0.2839048206806183,1.1743992567062378,5.8595290184021,2.840388536453247,5.832218170166016,3.933912515640259,0.007049308158457279,0.14964164793491364,0.0199980977922678,0.09083442389965057,-0.0026548716705292463,0.1638566255569458,9.805542945861816,0.31554552912712097,0.21546268463134766,0.17029958963394165
3,STANDING,204,-6.166082859039307,4.312837600708008,3.728969097137451,2.018449544906616,3.42374849319458,2.218059778213501,-0.005017635878175497,0.21728397905826569,0.022116417065262794,0.14738506078720093,0.00402808329090476,0.24841389060020447,9.804631233215332,0.44701650738716125,0.4309254586696625,0.35572731494903564
4,LYING,229,3.8947231769561768,3.4213244915008545,0.16465871036052704,1.3072012662887573,7.841348171234131,1.64558744430542,-0.0018968904623761773,0.11791389435529709,0.0012903552269563079,0.1135326698422432,0.004978043958544731,0.145503968000412,9.731975555419922,0.27260681986808777,0.15455862879753113,0.10502208024263382
